courierServer,dateShipped,saleID,customerEmail
"Kuehne + Nagel",2022-11-11,50066919,holmesbrian@yahoo.com
"Canada Post",2022-07-14,50116492,ryan70@yahoo.com
UPS,2022-09-05,50338054,christianjacobs@yahoo.com
APL,2022-04-30,50475926,jpruitt@gmail.com
DHL,2022-05-01,50532315,ypoole@yahoo.com
UPS,2022-02-19,51079307,robertmoore@gmail.com
"Canada Post",2021-12-14,51157777,debrabrown@gmail.com
"DB Schenker",2022-01-10,51247867,darylmartinez@gmail.com
"Hyundai Glovis",2022-03-24,51275228,carriehampton@yahoo.com
UPS,2022-05-25,51302887,andersonjeremy@hotmail.com
"Agility Logistics",2022-08-11,51390969,ifowler@hotmail.com
"Kuehne + Nagel",2022-04-06,51448066,clarkdaniel@hotmail.com
UPS,2022-02-24,51816292,ian91@yahoo.com
APL,2022-08-22,51997830,datkinson@gmail.com
"DB Schenker",2022-12-19,52244407,yrobinson@yahoo.com
"Hyundai Glovis",2022-03-10,52299575,tracyriley@yahoo.com
UPS,2022-06-06,52417771,allison30@gmail.com
"DB Schenker",2022-10-28,52595707,janetjackson@hotmail.com
UPS,2022-04-02,52764707,whitneywalker@gmail.com
"DB Schenker",2022-04-09,52782152,sandraanthony@hotmail.com
DHL,2022-09-27,52799068,bgeorge@yahoo.com
"Kuehne + Nagel",2022-03-03,52815317,manuel09@yahoo.com
DHL,2022-05-24,53138804,ericayoung@gmail.com
"Kuehne + Nagel",2022-06-23,53196682,qturner@gmail.com
"DB Schenker",2022-06-30,53206558,taylorjose@hotmail.com
"Hyundai Glovis",2022-04-07,53240040,tracyriley@yahoo.com
"Agility Logistics",2022-02-11,53291813,yrobinson@yahoo.com
FedEx,2021-12-21,53311399,scottlaura@hotmail.com
FedEx,2022-09-11,53347015,clarkdaniel@hotmail.com
APL,2022-01-01,53483973,qturner@gmail.com
"Canada Post",2022-03-19,53806215,wilkersonamy@hotmail.com
UPS,2022-01-19,53833587,kennedykenneth@gmail.com
FedEx,2022-04-26,53875952,ifowler@hotmail.com
"DB Schenker",2022-05-01,53989741,freemantammy@yahoo.com
DHL,2022-08-11,54250703,rogersheidi@gmail.com
DHL,2022-10-12,54295902,hpowers@gmail.com
"Canada Post",2022-01-12,54338425,lward@gmail.com
"Hyundai Glovis",2022-04-18,54390546,johnsonrobert@gmail.com
DHL,2022-08-29,54603349,rachelduke@yahoo.com
"Hyundai Glovis",2022-05-16,54726352,zwalls@yahoo.com
"Canada Post",2022-05-18,54729896,bflores@gmail.com
"Hyundai Glovis",2022-07-14,54746275,michelle29@yahoo.com
"Canada Post",2022-07-25,54829985,ruizhoward@yahoo.com
UPS,2022-01-27,55157506,jacklawson@yahoo.com
"Hyundai Glovis",2022-11-12,55225359,marshalljacob@hotmail.com
DHL,2022-03-25,55369534,ruizhoward@yahoo.com
"Agility Logistics",2022-03-18,55455381,tiffany30@hotmail.com
"Agility Logistics",2022-11-24,55487474,carriehampton@yahoo.com
UPS,2022-01-17,55570480,fuentesmark@yahoo.com
"DB Schenker",2022-06-07,55592741,smithrebecca@gmail.com
"DB Schenker",2022-11-25,55651080,myerstyrone@yahoo.com
UPS,2022-09-14,55670258,qturner@gmail.com
DHL,2022-02-28,55790710,johnsonrobert@gmail.com
FedEx,2022-08-05,55905817,angelica23@hotmail.com
"DB Schenker",2022-11-11,56065350,jesse24@yahoo.com
"Agility Logistics",2022-06-19,56069570,allison30@gmail.com
"Canada Post",2022-10-11,56117554,rachelduke@yahoo.com
"Kuehne + Nagel",2022-01-17,56153446,pedronguyen@hotmail.com
DHL,2022-05-01,56174397,rogersheidi@gmail.com
"Hyundai Glovis",2022-03-28,56325676,autumnbryant@hotmail.com
"Canada Post",2022-08-26,56536553,ginameyer@gmail.com
"Hyundai Glovis",2022-03-21,56554212,ian91@yahoo.com
"Hyundai Glovis",2022-10-04,56604665,herrerajacqueline@gmail.com
DHL,2022-04-09,56664966,janetjackson@hotmail.com
"Hyundai Glovis",2022-02-08,56918960,kennedykenneth@gmail.com
UPS,2022-10-29,56980554,josephortega@hotmail.com
"DB Schenker",2022-11-14,57015828,roger36@hotmail.com
DHL,2022-03-01,57055596,autumnbryant@hotmail.com
"Agility Logistics",2022-10-30,57093239,tracyriley@yahoo.com
"Agility Logistics",2022-10-31,57170572,dennis77@yahoo.com
"Kuehne + Nagel",2022-08-02,57186504,coxregina@yahoo.com
"Agility Logistics",2022-10-01,57245263,michelle29@yahoo.com
"Hyundai Glovis",2022-09-15,57375908,saracook@hotmail.com
DHL,2022-04-04,57541723,rogersheidi@gmail.com
"Canada Post",2022-10-18,57597980,zacharyluna@yahoo.com
"Hyundai Glovis",2022-04-16,57789699,richdesiree@hotmail.com
"Kuehne + Nagel",2022-06-27,57895871,nancy66@yahoo.com
DHL,2022-09-16,57941998,allison30@gmail.com
UPS,2022-05-16,58117316,brightkathleen@hotmail.com
"Agility Logistics",2022-10-06,58242209,wilkersonamy@hotmail.com
UPS,2022-09-24,58269886,fuentesmark@yahoo.com
APL,2022-03-03,58391273,bgeorge@yahoo.com
"DB Schenker",2022-02-21,58526453,tiffany30@hotmail.com
"DB Schenker",2022-06-11,58613269,cheryl77@hotmail.com
UPS,2022-10-04,58623152,stevensawyer@hotmail.com
DHL,2022-03-11,58628065,christianjacobs@yahoo.com
"Kuehne + Nagel",2022-02-05,58795170,andersonjeremy@hotmail.com
"Agility Logistics",2022-11-19,58829929,mortiz@gmail.com
"DB Schenker",2022-10-21,58895511,scottlaura@hotmail.com
"Hyundai Glovis",2022-04-04,59012092,llopez@yahoo.com
DHL,2022-04-22,59063841,bwallace@gmail.com
"Agility Logistics",2022-04-18,59116684,marshalljacob@hotmail.com
APL,2022-10-24,59150909,michellechapman@yahoo.com
"Kuehne + Nagel",2022-11-17,59241164,datkinson@gmail.com
FedEx,2022-11-09,59412601,qeverett@yahoo.com
FedEx,2022-10-23,59492757,colleen86@yahoo.com
DHL,2022-07-27,59676843,jacklawson@yahoo.com
"Kuehne + Nagel",2022-01-15,59907770,clarkdaniel@hotmail.com
DHL,2022-11-24,59975113,bgeorge@yahoo.com
FedEx,2022-01-19,60013217,wayala@yahoo.com
"Agility Logistics",2021-12-29,60046208,mortiz@gmail.com
DHL,2022-07-26,60121066,angela14@hotmail.com
FedEx,2022-03-10,60146557,taylorjose@hotmail.com
"Agility Logistics",2021-12-18,60242716,toddroberts@gmail.com
"DB Schenker",2022-10-14,60367631,hpowers@gmail.com
"Canada Post",2022-07-19,60393739,autumnbryant@hotmail.com
"DB Schenker",2022-09-30,60421050,verickson@yahoo.com
FedEx,2022-04-28,60479389,taylorjose@hotmail.com
"DB Schenker",2022-04-12,60493781,jessica86@gmail.com
APL,2022-01-07,60575210,norma12@hotmail.com
"Kuehne + Nagel",2022-03-16,60627841,amysampson@yahoo.com
DHL,2022-08-10,60763334,brandy17@yahoo.com
FedEx,2022-06-11,60873606,robertmoore@gmail.com
DHL,2022-09-06,60967787,carriehampton@yahoo.com
DHL,2022-02-10,60982650,ehunter@hotmail.com
UPS,2022-09-09,61043718,cboone@yahoo.com
"Kuehne + Nagel",2022-01-10,61243279,whitneywalker@gmail.com
"Hyundai Glovis",2022-12-12,61321083,fuentesmark@yahoo.com
APL,2021-12-15,61585218,stevenrobbins@gmail.com
APL,2022-02-22,61785489,johnsonrobert@gmail.com
"Canada Post",2022-05-09,61985063,ginameyer@gmail.com
"Canada Post",2022-07-06,62149303,iking@gmail.com
DHL,2022-07-19,62185349,johnsonrobert@gmail.com
"DB Schenker",2022-01-18,62204781,colleen86@yahoo.com
"Kuehne + Nagel",2022-08-26,62548977,johnsonrobert@gmail.com
"DB Schenker",2022-01-16,62641555,rodriguezdebra@gmail.com
"Kuehne + Nagel",2022-07-13,62668033,michelle29@yahoo.com
"Hyundai Glovis",2022-12-26,63287776,qturner@gmail.com
"Hyundai Glovis",2022-08-12,63321456,andrew22@yahoo.com
FedEx,2021-12-13,63427011,jessica86@gmail.com
"DB Schenker",2022-11-26,63499735,juliedelgado@hotmail.com
FedEx,2022-10-28,63593334,vvelazquez@hotmail.com
"Agility Logistics",2022-04-14,63698350,scottlaura@hotmail.com
UPS,2022-06-11,63809138,saracook@hotmail.com
APL,2022-08-03,64125732,qturner@gmail.com
"Agility Logistics",2022-06-29,64137957,rogersheidi@gmail.com
"Kuehne + Nagel",2022-11-10,64216478,norma12@hotmail.com
"Agility Logistics",2021-12-23,64273471,rhondachandler@yahoo.com
"DB Schenker",2021-12-19,64285337,michelle29@yahoo.com
"DB Schenker",2022-07-11,64426150,bcampbell@gmail.com
FedEx,2022-03-14,64614243,pedronguyen@hotmail.com
APL,2022-12-22,64695709,autumnbryant@hotmail.com
FedEx,2022-02-03,64837550,blackmallory@hotmail.com
UPS,2021-12-25,64879413,andrew22@yahoo.com
"DB Schenker",2022-04-24,64968681,scottlaura@hotmail.com
"Canada Post",2022-09-12,65012086,anthonyjackson@hotmail.com
UPS,2022-09-12,65125359,andrew22@yahoo.com
"Agility Logistics",2022-09-20,65185124,ruizhoward@yahoo.com
"Hyundai Glovis",2022-07-15,65187227,cheryl77@hotmail.com
APL,2022-10-20,65416419,hpowers@gmail.com
UPS,2022-05-29,65495117,markwest@yahoo.com
"Hyundai Glovis",2022-12-21,65501849,jesse24@yahoo.com
FedEx,2022-09-20,65574454,ymullen@hotmail.com
APL,2022-01-18,65723630,rachelduke@yahoo.com
"Kuehne + Nagel",2022-04-02,65975855,gallegospaula@hotmail.com
"Kuehne + Nagel",2021-12-12,65993491,taylorjose@hotmail.com
"Kuehne + Nagel",2022-05-04,66075486,johnsonrobert@gmail.com
FedEx,2022-06-24,66229261,tiffany30@hotmail.com
"DB Schenker",2022-08-04,66286837,rhondachandler@yahoo.com
"DB Schenker",2022-10-27,66418344,austinwilson@hotmail.com
FedEx,2022-07-05,66542599,andersonjeremy@hotmail.com
APL,2022-07-17,66648451,ericayoung@gmail.com
"Hyundai Glovis",2022-07-21,66693765,julie08@yahoo.com
DHL,2022-09-27,66789765,qturner@gmail.com
DHL,2022-11-10,66914631,franksantana@hotmail.com
"Canada Post",2022-12-04,67040438,clayjack@gmail.com
FedEx,2022-11-06,67046355,samanthamartin@yahoo.com
DHL,2022-11-17,67051052,robin82@gmail.com
"Kuehne + Nagel",2022-08-20,67255917,clarkdaniel@hotmail.com
"Agility Logistics",2022-11-16,67423033,loretta79@yahoo.com
"Hyundai Glovis",2022-05-19,67541744,austinwilson@hotmail.com
"Agility Logistics",2022-02-05,67689170,stevensawyer@hotmail.com
"Hyundai Glovis",2022-05-29,67858439,murphyzachary@hotmail.com
FedEx,2022-10-02,68174545,ehunter@hotmail.com
"Hyundai Glovis",2022-11-10,68193812,sandraanthony@hotmail.com
APL,2022-02-19,68319687,zwatkins@yahoo.com
DHL,2022-02-16,68330132,autumnbryant@hotmail.com
"Kuehne + Nagel",2022-11-04,68415136,brightkathleen@hotmail.com
"Kuehne + Nagel",2022-12-12,68457105,randy38@hotmail.com
APL,2022-10-26,68728731,john90@yahoo.com
DHL,2022-05-15,68810009,zwalls@yahoo.com
"Hyundai Glovis",2022-02-28,68879266,smoore@hotmail.com
"Hyundai Glovis",2022-04-12,68884994,verickson@yahoo.com
UPS,2022-04-26,68919146,yrobinson@yahoo.com
"Canada Post",2022-08-12,68985264,hpowers@gmail.com
"Hyundai Glovis",2022-03-12,69176982,yrobinson@yahoo.com
FedEx,2022-12-18,69225949,carriehampton@yahoo.com
FedEx,2022-04-26,69292996,ypoole@yahoo.com
DHL,2022-06-11,69312588,antonio16@hotmail.com
DHL,2022-08-21,69327513,bullockrichard@gmail.com
"DB Schenker",2022-09-22,69403972,kramerthomas@yahoo.com
"Hyundai Glovis",2022-05-03,69460562,angela14@hotmail.com
DHL,2022-01-31,69461637,lawrenceharris@hotmail.com
"Hyundai Glovis",2022-02-12,69562174,frederickpatricia@hotmail.com
APL,2022-04-04,69640162,qturner@gmail.com
"Agility Logistics",2022-02-13,69685866,angelica23@hotmail.com
FedEx,2022-12-08,69687143,andrew22@yahoo.com
UPS,2022-10-26,69693786,matthew70@hotmail.com
"Hyundai Glovis",2022-05-09,69946363,mitchellwilliam@yahoo.com
"Agility Logistics",2022-03-21,69970009,zacharyluna@yahoo.com
"Kuehne + Nagel",2021-12-31,70026627,kennedykenneth@gmail.com
DHL,2022-07-08,70333459,andrew22@yahoo.com
UPS,2022-12-26,70376036,murphyzachary@hotmail.com
"Hyundai Glovis",2022-12-08,70451399,pedronguyen@hotmail.com
"Hyundai Glovis",2022-02-12,70515244,myerstyrone@yahoo.com
"Hyundai Glovis",2022-09-14,70538885,jacklawson@yahoo.com
"Hyundai Glovis",2022-10-23,70610413,antonio16@hotmail.com
"Canada Post",2022-09-10,70621723,sanchezkenneth@yahoo.com
FedEx,2021-12-31,70707113,colleen86@yahoo.com
UPS,2022-10-26,70782264,swagner@hotmail.com
"Kuehne + Nagel",2022-08-31,70972313,fuentesmark@yahoo.com
"Kuehne + Nagel",2022-03-17,71005874,toddroberts@gmail.com
"Kuehne + Nagel",2022-11-28,71074641,rcowan@gmail.com
APL,2022-08-26,71084671,lawrenceharris@hotmail.com
"DB Schenker",2022-06-07,71197449,franksantana@hotmail.com
DHL,2022-01-10,71471488,danielsmichael@yahoo.com
"Hyundai Glovis",2022-01-17,71511030,mortiz@gmail.com
APL,2022-07-13,71522197,zacharyluna@yahoo.com
UPS,2022-08-09,71528878,kennedykenneth@gmail.com
UPS,2022-06-12,71534121,manuel09@yahoo.com
"DB Schenker",2022-04-21,71656366,juliedelgado@hotmail.com
APL,2022-09-06,71657974,ryan70@yahoo.com
"DB Schenker",2022-06-04,71896151,sandraanthony@hotmail.com
DHL,2022-03-25,71932422,john90@yahoo.com
UPS,2022-10-28,72572627,angelica23@hotmail.com
"Canada Post",2022-10-06,72755129,kennedykenneth@gmail.com
DHL,2021-12-16,72976296,hmeyer@gmail.com
"DB Schenker",2022-02-28,73048701,kennedykenneth@gmail.com
"Agility Logistics",2022-02-25,73107392,julie08@yahoo.com
UPS,2022-10-01,73133759,zwalls@yahoo.com
APL,2022-04-08,73204190,anthonyjackson@hotmail.com
DHL,2022-11-19,73851073,zwatkins@yahoo.com
"DB Schenker",2022-08-04,74030200,dennis77@yahoo.com
"DB Schenker",2022-05-31,74272228,kristin05@hotmail.com
FedEx,2022-05-27,74609017,yrobinson@yahoo.com
"DB Schenker",2022-09-26,74654475,linda81@yahoo.com
"DB Schenker",2021-12-27,74791491,alexandermark@yahoo.com
"DB Schenker",2022-10-17,75049201,clayjack@gmail.com
"Kuehne + Nagel",2022-03-09,75343484,sarah40@hotmail.com
"Hyundai Glovis",2022-11-07,75349158,blackmallory@hotmail.com
"Agility Logistics",2022-06-25,75381233,saracook@hotmail.com
"Hyundai Glovis",2022-03-21,75501129,qwilliams@gmail.com
"Agility Logistics",2022-12-01,75729042,markwest@yahoo.com
"Agility Logistics",2022-06-01,76097867,kramerthomas@yahoo.com
UPS,2022-05-25,76253539,robin82@gmail.com
UPS,2022-08-05,76353536,kennedykenneth@gmail.com
APL,2022-06-28,76641428,loretta79@yahoo.com
"Hyundai Glovis",2022-05-21,76746390,verickson@yahoo.com
"Hyundai Glovis",2022-07-26,76750755,frederickpatricia@hotmail.com
FedEx,2022-04-21,76867019,loretta79@yahoo.com
"DB Schenker",2022-12-24,77215154,jacklawson@yahoo.com
UPS,2022-04-28,77395078,swagner@hotmail.com
APL,2022-05-10,77467911,jesse24@yahoo.com
"Canada Post",2022-02-26,77867353,ehunter@hotmail.com
"Hyundai Glovis",2022-11-27,78031586,danieltucker@gmail.com
UPS,2022-09-03,78114234,mitchellwilliam@yahoo.com
APL,2022-11-08,78451957,youngshawn@gmail.com
UPS,2022-08-09,78490253,myerstyrone@yahoo.com
"Canada Post",2022-06-30,78683846,autumnbryant@hotmail.com
FedEx,2022-06-29,78848566,datkinson@gmail.com
"DB Schenker",2022-10-15,78980303,markwest@yahoo.com
UPS,2022-12-01,79087247,taylorrodriguez@yahoo.com
"Kuehne + Nagel",2022-07-27,79122863,gallegospaula@hotmail.com
DHL,2022-09-12,79198165,brightkathleen@hotmail.com
"Kuehne + Nagel",2022-05-03,79283434,robertmoore@gmail.com
APL,2022-01-23,79362528,john87@hotmail.com
APL,2022-04-02,79407311,john87@hotmail.com
"Hyundai Glovis",2022-07-14,79627917,linda81@yahoo.com
UPS,2022-05-19,79797818,juliedelgado@hotmail.com
FedEx,2022-08-07,79868877,hicksjill@gmail.com
FedEx,2022-11-06,80011361,samanthamartin@yahoo.com
"DB Schenker",2022-02-17,80406419,pedronguyen@hotmail.com
FedEx,2022-03-12,80576068,verickson@yahoo.com
"Canada Post",2022-12-17,80706212,marshalljacob@hotmail.com
DHL,2022-09-07,80999591,brightkathleen@hotmail.com
"DB Schenker",2022-07-18,81071074,lmoyer@yahoo.com
"Agility Logistics",2022-07-26,81120673,andrew22@yahoo.com
"DB Schenker",2022-02-28,81131709,clayjack@gmail.com
APL,2022-04-17,81254095,awhite@yahoo.com
UPS,2022-10-01,81350414,amysampson@yahoo.com
"Canada Post",2022-09-06,81575640,hmeyer@gmail.com
APL,2022-07-22,81632459,herrerajacqueline@gmail.com
DHL,2022-07-07,81760497,derek56@gmail.com
APL,2021-12-14,81823130,lward@gmail.com
APL,2022-03-22,81847693,alexandermark@yahoo.com
UPS,2022-09-13,82039950,kramerthomas@yahoo.com
"Kuehne + Nagel",2022-08-05,82077228,michellechapman@yahoo.com
DHL,2022-01-16,82142421,wjohnson@yahoo.com
"Kuehne + Nagel",2022-09-08,82165062,whitneywalker@gmail.com
"Agility Logistics",2022-08-20,82253943,julie08@yahoo.com
UPS,2022-12-16,82287207,anthonyjackson@hotmail.com
UPS,2022-07-30,82320027,debrabrown@gmail.com
APL,2022-01-03,82418601,loretta79@yahoo.com
"DB Schenker",2022-04-13,82503062,rachelduke@yahoo.com
APL,2022-07-30,82616236,anthonyjackson@hotmail.com
"Agility Logistics",2022-11-18,82695323,sbrown@yahoo.com
"Hyundai Glovis",2022-08-21,82786632,rcowan@gmail.com
"DB Schenker",2022-02-09,82976828,brightkathleen@hotmail.com
FedEx,2022-03-26,83145254,julie08@yahoo.com
"Canada Post",2022-04-14,83254918,rachelduke@yahoo.com
"Hyundai Glovis",2022-08-18,83477119,antonio16@hotmail.com
UPS,2022-11-15,83488665,cheryl77@hotmail.com
APL,2022-09-24,83553073,yrobinson@yahoo.com
DHL,2022-04-17,83792366,brandy17@yahoo.com
UPS,2022-11-22,84008923,juliedelgado@hotmail.com
"Kuehne + Nagel",2022-01-04,84092175,julie08@yahoo.com
"Canada Post",2022-04-06,84283283,andersonjeremy@hotmail.com
APL,2022-12-16,84512086,loretta79@yahoo.com
FedEx,2022-03-02,84780812,qeverett@yahoo.com
"Hyundai Glovis",2022-02-11,84951618,jesse24@yahoo.com
"Hyundai Glovis",2022-01-23,84957375,jacklawson@yahoo.com
FedEx,2022-05-31,85046917,austinwilson@hotmail.com
DHL,2022-05-19,85113008,ruizhoward@yahoo.com
APL,2022-02-07,85211032,ruizhoward@yahoo.com
"Canada Post",2022-05-17,85337480,hicksjill@gmail.com
DHL,2022-09-25,85368002,bflores@gmail.com
APL,2022-02-11,85449220,gregorymoran@hotmail.com
"Agility Logistics",2022-11-26,85567719,josephortega@hotmail.com
"Canada Post",2022-09-08,86224048,bflores@gmail.com
DHL,2022-09-15,86230810,sarah40@hotmail.com
DHL,2022-07-03,86546898,jpruitt@gmail.com
FedEx,2022-04-14,86683265,zprice@yahoo.com
"Agility Logistics",2022-05-22,86685238,jessica86@gmail.com
"Hyundai Glovis",2022-03-08,86697101,wdowns@hotmail.com
FedEx,2022-04-28,86770224,zwatkins@yahoo.com
UPS,2022-03-02,86812733,ulee@gmail.com
"DB Schenker",2022-04-22,86827294,smithshaun@gmail.com
"DB Schenker",2022-07-29,86844895,coxregina@yahoo.com
DHL,2022-09-29,86859790,colleen86@yahoo.com
"Hyundai Glovis",2022-01-07,87123050,christianjacobs@yahoo.com
"Canada Post",2022-04-19,87178623,datkinson@gmail.com
DHL,2022-06-25,87254204,sbrown@yahoo.com
"Kuehne + Nagel",2022-10-14,87294828,smoore@hotmail.com
UPS,2022-07-28,87333732,mitchellwilliam@yahoo.com
"Canada Post",2022-03-10,87494860,hmeyer@gmail.com
"Canada Post",2022-12-21,87533286,dennis77@yahoo.com
"Agility Logistics",2022-08-14,87544695,darylmartinez@gmail.com
DHL,2021-12-20,87661323,ehunter@hotmail.com
"Hyundai Glovis",2022-11-10,88032757,michelle29@yahoo.com
"DB Schenker",2022-07-09,88074153,ifowler@hotmail.com
FedEx,2022-07-14,88089683,rcowan@gmail.com
"DB Schenker",2022-11-14,88286082,darylmartinez@gmail.com
"Hyundai Glovis",2021-12-15,88419664,ginameyer@gmail.com
"Kuehne + Nagel",2022-05-28,88456393,heatherbailey@gmail.com
"DB Schenker",2022-12-27,88467801,rachelduke@yahoo.com
"Hyundai Glovis",2022-07-25,88474861,rogersheidi@gmail.com
UPS,2022-04-21,88726588,juliedelgado@hotmail.com
"Agility Logistics",2022-08-23,88760391,brandy17@yahoo.com
"Kuehne + Nagel",2022-02-19,88849119,gregory99@gmail.com
UPS,2022-09-19,89170700,bflores@gmail.com
DHL,2022-09-15,89181928,derek56@gmail.com
UPS,2022-04-30,89235065,juliedelgado@hotmail.com
"Kuehne + Nagel",2022-07-04,89366301,markwest@yahoo.com
"Canada Post",2022-08-18,89387146,kennedykenneth@gmail.com
"Kuehne + Nagel",2022-05-01,89498354,manuel09@yahoo.com
"Hyundai Glovis",2022-04-21,89557570,mitchellwilliam@yahoo.com
FedEx,2022-02-23,89822852,stevensawyer@hotmail.com
FedEx,2022-06-12,89902998,stevensawyer@hotmail.com
DHL,2022-03-13,89977156,michelle29@yahoo.com
"Hyundai Glovis",2022-08-29,89999943,scottlaura@hotmail.com
DHL,2022-08-17,90121166,zwatkins@yahoo.com
"Agility Logistics",2022-12-04,90201936,taylorrodriguez@yahoo.com
DHL,2022-12-15,90206665,jacklawson@yahoo.com
APL,2022-10-23,90235290,tiffany30@hotmail.com
"DB Schenker",2022-03-19,90342509,smoore@hotmail.com
DHL,2022-06-16,90369179,qeverett@yahoo.com
"Agility Logistics",2022-08-30,90482106,scottlaura@hotmail.com
"Kuehne + Nagel",2021-12-24,90572265,zprice@yahoo.com
"Kuehne + Nagel",2022-08-19,90598432,saracook@hotmail.com
"Canada Post",2022-09-24,90686054,datkinson@gmail.com
FedEx,2022-11-04,90833038,josephortega@hotmail.com
"Hyundai Glovis",2022-03-24,91058355,herrerajacqueline@gmail.com
"Hyundai Glovis",2022-06-13,91167774,angelica23@hotmail.com
"Hyundai Glovis",2022-02-10,91238481,dennis77@yahoo.com
"DB Schenker",2022-06-09,91318572,stevenrobbins@gmail.com
APL,2022-06-15,91356154,rodriguezdebra@gmail.com
"Hyundai Glovis",2021-12-28,91377043,wilkersonamy@hotmail.com
FedEx,2022-06-27,91396648,zacharyluna@yahoo.com
"Canada Post",2022-01-15,91469380,gregorymoran@hotmail.com
UPS,2022-02-11,91740717,wdowns@hotmail.com
"Hyundai Glovis",2022-04-27,91816528,robertmoore@gmail.com
"Kuehne + Nagel",2022-12-20,91874269,hpowers@gmail.com
"Kuehne + Nagel",2022-12-27,91998019,ymullen@hotmail.com
FedEx,2022-03-16,92048225,myerstyrone@yahoo.com
DHL,2022-03-12,92072053,llopez@yahoo.com
"Hyundai Glovis",2022-09-22,92138629,manuel09@yahoo.com
UPS,2021-12-14,92304635,ymullen@hotmail.com
DHL,2022-07-15,92446342,jessica86@gmail.com
DHL,2022-10-04,92490130,debrabrown@gmail.com
UPS,2022-07-27,92736214,sanchezkenneth@yahoo.com
FedEx,2022-11-24,92785458,manuel09@yahoo.com
UPS,2022-08-11,92973008,danieltucker@gmail.com
FedEx,2022-05-09,93046602,darylmartinez@gmail.com
"Hyundai Glovis",2022-04-16,93092111,carriehampton@yahoo.com
"Kuehne + Nagel",2022-01-28,93097062,ruizhoward@yahoo.com
APL,2022-11-25,93174145,heatherbailey@gmail.com
"Canada Post",2021-12-31,93283298,randy38@hotmail.com
"Agility Logistics",2022-01-22,93355100,timothy89@hotmail.com
APL,2021-12-22,93533744,john90@yahoo.com
"Kuehne + Nagel",2022-04-01,93718011,andrew22@yahoo.com
"Canada Post",2022-01-21,93756969,andrew22@yahoo.com
"Agility Logistics",2021-12-27,93791786,jpruitt@gmail.com
DHL,2022-04-24,93805483,hpowers@gmail.com
DHL,2022-11-24,93841764,allenlee@hotmail.com
FedEx,2022-11-28,93964531,brightkathleen@hotmail.com
APL,2022-02-07,94073126,rogersheidi@gmail.com
"Kuehne + Nagel",2022-06-08,94076530,kevinford@yahoo.com
"Kuehne + Nagel",2022-10-16,94129670,darylmartinez@gmail.com
UPS,2022-03-09,94146660,gallegospaula@hotmail.com
"Kuehne + Nagel",2022-11-04,94352344,murphyzachary@hotmail.com
"Agility Logistics",2022-02-18,94403886,josephortega@hotmail.com
"DB Schenker",2022-10-31,94911169,clayjack@gmail.com
"Hyundai Glovis",2022-02-19,94974003,lward@gmail.com
"Agility Logistics",2022-08-07,95081366,hpowers@gmail.com
DHL,2022-10-02,95216379,clayjack@gmail.com
UPS,2022-03-30,95687704,manuel09@yahoo.com
FedEx,2022-03-24,95859323,rodriguezdebra@gmail.com
"Agility Logistics",2022-03-30,95873107,kennedykenneth@gmail.com
"DB Schenker",2022-05-09,95983059,taylorjose@hotmail.com
"Kuehne + Nagel",2022-04-29,96050200,michellechapman@yahoo.com
"Canada Post",2022-12-07,96082065,roger36@hotmail.com
"DB Schenker",2022-03-19,96098516,debrabrown@gmail.com
DHL,2022-04-14,96284827,manuel09@yahoo.com
UPS,2022-12-22,96319369,frederickpatricia@hotmail.com
"Canada Post",2022-03-04,96433447,ericayoung@gmail.com
APL,2022-03-22,96505748,ian91@yahoo.com
UPS,2022-08-05,96627600,edward22@gmail.com
"DB Schenker",2022-09-12,96847824,bullockrichard@gmail.com
UPS,2022-02-16,96966075,verickson@yahoo.com
APL,2022-10-12,97037712,manuel09@yahoo.com
DHL,2021-12-28,97083337,carriehampton@yahoo.com
"Agility Logistics",2022-07-13,97151791,linda81@yahoo.com
APL,2022-12-10,97169871,autumnbryant@hotmail.com
"Hyundai Glovis",2022-06-03,97269762,qeverett@yahoo.com
"DB Schenker",2022-08-19,97590927,lward@gmail.com
"Agility Logistics",2022-08-06,97648017,bcampbell@gmail.com
APL,2022-03-10,97819783,ifowler@hotmail.com
"Hyundai Glovis",2022-04-21,97872191,iguzman@hotmail.com
"Kuehne + Nagel",2022-04-24,97915744,michellechapman@yahoo.com
APL,2022-09-19,98062140,manuel09@yahoo.com
"Agility Logistics",2022-04-18,98079209,lawrenceharris@hotmail.com
"Agility Logistics",2022-06-05,98178896,llopez@yahoo.com
"Agility Logistics",2022-10-16,98209781,ulee@gmail.com
APL,2022-01-23,98505210,norma12@hotmail.com
"Hyundai Glovis",2022-11-21,98574407,carriehampton@yahoo.com
FedEx,2022-12-07,98680191,randy38@hotmail.com
"Kuehne + Nagel",2022-06-27,98694808,kristin05@hotmail.com
DHL,2022-08-27,98876464,wjohnson@yahoo.com
FedEx,2022-09-08,98925636,danielsmichael@yahoo.com
UPS,2022-06-26,98954742,robin82@gmail.com
FedEx,2022-04-05,98990177,sandraanthony@hotmail.com
UPS,2022-05-20,99128302,yrobinson@yahoo.com
APL,2022-07-10,99216542,kennedykenneth@gmail.com
"Kuehne + Nagel",2022-11-21,99399214,wdowns@hotmail.com
UPS,2022-12-16,99436193,rogersheidi@gmail.com
"Canada Post",2022-01-22,99484354,kristin05@hotmail.com
"Kuehne + Nagel",2022-10-19,99494278,saracook@hotmail.com
